Name;eta_B_star;eta_B_star_norm
3,4,5,6-tetramethyloctane;6.70689;0.34516
3,4,5,5-tetramethyloctane;8.27017;0.44345
3,4,4,6-tetramethyloctane;8.56871;0.46222
3,4,4,5-tetramethyloctane;8.08115;0.43157
3,3,6,6-tetramethyloctane;10.49125;0.58310
2,4,4,6-tetramethyloctane;9.73372;0.53547
3,3,5,5-tetramethyloctane;10.48921;0.58297
2,4,5,7-tetramethyloctane;8.67037;0.46861
3,3,4,5-tetramethyloctane;8.26721;0.44327
3,3,4,4-tetramethyloctane;9.71459;0.53427
2,5,6,6-tetramethyloctane;9.25454;0.50534
2,5,5,6-tetramethyloctane;9.24321;0.50463
2,4,6,6-tetramethyloctane;9.73460;0.53553
2,4,5,6-tetramethyloctane;7.68923;0.40693
3,3,5,6-tetramethyloctane;8.75253;0.47378
2,2,6,6-tetramethyloctane;11.58095;0.65161
2,2,5,7-tetramethyloctane;10.81369;0.60337
2,2,5,6-tetramethyloctane;9.83942;0.54212
2,2,4,7-tetramethyloctane;10.81802;0.60364
2,2,5,5-tetramethyloctane;11.57282;0.65110
3,3,4-triethylhexane;3.81382;0.16327
2,2,4-trimethyl-3,3-diethylpentane;10.71942;0.59744
3,4,5-trimethyl-3-ethylheptane;7.17837;0.37481
2,2,5-trimethyl-3-ethylheptane;8.97936;0.48804
2,2,6-trimethyl-3-ethylheptane;9.65343;0.53042
2,3,6-trimethyl-3-ethylheptane;8.84442;0.47956
2,4,4-trimethyl-3-ethylheptane;8.26056;0.44285
2,5,5-trimethyl-3-ethylheptane;8.75167;0.47373
2,2,4-trimethyl-3-ethylheptane;8.67403;0.46884
2,2,3-trimethyl-3-ethylheptane;9.71286;0.53416
2,4,5-trimethyl-3-ethylheptane;6.70703;0.34517
2,3,4-trimethyl-3-ethylheptane;7.67507;0.40604
3,4,4-trimethyl-3-ethylheptane;8.62776;0.46593
2,3,5-trimethyl-3-ethylheptane;8.16794;0.43702
2,4,6-trimethyl-3-ethylheptane;7.68795;0.40685
2,3,5-trimethyl-3-isopropylhexane;10.94017;0.61132
2,3,4-trimethyl-3-isopropylhexane;9.77571;0.53811
2,2,5-trimethyl-3-isopropylhexane;11.93819;0.67407
2,2,4-trimethyl-3-isopropylhexane;10.94396;0.61156
2,2,3-trimethyl-3-isopropylhexane;11.80958;0.66599
2,4,4-trimethyl-3-isopropylhexane;10.54471;0.58646
2,3,4-trimethyl-4-ethylheptane;7.85994;0.41766
2,3,6-trimethyl-4-ethylheptane;7.68825;0.40686
2,3,5-trimethyl-4-ethylheptane;6.70605;0.34511
2,2,3-trimethyl-4-ethylheptane;8.67000;0.46859
2,3,3-trimethyl-4-ethylheptane;8.08446;0.43178
2,5,5-trimethyl-4-ethylheptane;8.56403;0.46193
2,4,5-trimethyl-4-ethylheptane;8.16200;0.43665
3,4,5-trimethyl-4-ethylheptane;6.99719;0.36341
2,2,5-trimethyl-4-ethylheptane;9.16159;0.49950
2,2,6-trimethyl-4-ethylheptane;10.13650;0.56079
2,4,6-trimethyl-4-ethylheptane;9.31887;0.50939
3,3,4-trimethyl-4-ethylheptane;8.62742;0.46591
3,3,5-trimethyl-4-ethylheptane;7.58994;0.40068
2,2,4-trimethyl-4-ethylheptane;10.49158;0.58312
2,2,5-trimethyl-4-isopropylhexane;12.11608;0.68526
2,3,5-trimethyl-4-isopropylhexane;9.67331;0.53167
2,2,3-trimethyl-5-ethylheptane;8.97904;0.48802
2,2,6-trimethyl-5-ethylheptane;9.83341;0.54174
2,3,3-trimethyl-5-ethylheptane;8.56927;0.46226
2,2,4-trimethyl-5-ethylheptane;9.15708;0.49922
2,2,5-trimethyl-5-ethylheptane;10.48943;0.58298
3,4,4-trimethyl-5-ethylheptane;7.40612;0.38913
2,3,4-trimethyl-5-ethylheptane;6.70818;0.34524
2,3,6-trimethyl-5-ethylheptane;7.69265;0.40714
2,4,4-trimethyl-5-ethylheptane;8.57048;0.46233
3,3,5-trimethyl-5-ethylheptane;9.40675;0.51491
2,4,5-trimethyl-5-ethylheptane;8.16169;0.43663
2,3,5-trimethyl-5-ethylheptane;8.34092;0.44790
3,3,4-trimethyl-5-ethylheptane;7.58812;0.40057
2,7,7-trimethylnonane;7.82615;0.41553
3,4,6-trimethylnonane;5.40802;0.26350
2,4,6-trimethylnonane;6.38961;0.32521
3,5,7-trimethylnonane;5.70610;0.28224
2,4,7-trimethylnonane;6.38951;0.32521
2,4,8-trimethylnonane;7.06997;0.36799
3,5,6-trimethylnonane;5.40295;0.26318
2,5,5-trimethylnonane;7.82777;0.41564
3,5,5-trimethylnonane;7.14658;0.37281
2,4,5-trimethylnonane;6.08585;0.30612
3,4,7-trimethylnonane;5.40538;0.26333
3,3,6-trimethylnonane;7.15049;0.37305
3,4,5-trimethylnonane;5.10827;0.24465
3,4,4-trimethylnonane;6.66612;0.34260
3,3,7-trimethylnonane;7.15373;0.37326
3,3,4-trimethylnonane;6.66326;0.34242
2,6,7-trimethylnonane;6.08413;0.30601
2,6,6-trimethylnonane;7.82417;0.41541
2,5,8-trimethylnonane;7.06577;0.36773
2,5,7-trimethylnonane;6.38695;0.32505
2,5,6-trimethylnonane;6.08600;0.30613
2,3,4-trimethylnonane;5.77985;0.28688
3,3,5-trimethylnonane;7.15316;0.37322
2,2,5-trimethylnonane;8.23444;0.44121
2,2,6-trimethylnonane;8.23066;0.44097
2,2,7-trimethylnonane;8.23008;0.44093
2,2,4-trimethylnonane;8.23270;0.44110
2,2,8-trimethylnonane;8.91150;0.48377
3,6,6-trimethylnonane;7.14607;0.37278
2,3,3-trimethylnonane;7.34588;0.38534
2,2,3-trimethylnonane;7.74535;0.41045
2,3,5-trimethylnonane;6.08528;0.30608
4,5,6-trimethylnonane;5.09944;0.24410
4,5,5-trimethylnonane;6.66605;0.34259
2,3,6-trimethylnonane;6.08581;0.30611
2,3,7-trimethylnonane;6.08841;0.30628
4,4,6-trimethylnonane;7.15189;0.37314
2,3,8-trimethylnonane;6.76559;0.34885
4,4,5-trimethylnonane;6.66269;0.34238
2,4,4-trimethylnonane;7.82494;0.41546
2,4-dimethylundecane;4.46563;0.58320
2,2-dimethylundecane;6.30549;1.00000
2,3-dimethylundecane;4.16249;0.51453
2-methyldodecane;2.56859;0.15345
3-methyldodecane;1.89122;0.00000
2,2-dimethyldodecane;6.27926;1.00000
2,4-dimethyldodecane;4.45270;0.58437
2,3-dimethyldodecane;4.14948;0.51537
2-methyltridecane;2.55959;0.15359
3-methyltridecane;1.88459;0.00000
2,3-dimethyltridecane;4.13675;0.51507
2,2-dimethyltridecane;6.26222;1.00000
2,4-dimethyltridecane;4.43441;0.58298
2-methyltetradecane;2.55413;0.15400
3-methyltetradecane;1.87915;0.00000
2,2-dimethyltetradecane;6.24330;0.24724
2,4-dimethyltetradecane;4.42206;0.14422
2,3-dimethyltetradecane;4.12500;0.12741
3-methylpentadecane;1.87265;0.00000
2-methylpentadecane;2.54613;0.03810
2,2,4,4,6,8,8-heptamethylnonane;19.55038;1.00000
2,3-dimethylpentadecane;4.11559;0.51555
2,4-dimethylpentadecane;4.41197;0.58357
2,2-dimethylpentadecane;6.22632;1.00000
2-methylhexadecane;2.54031;0.15399
3-methylhexadecane;1.86940;0.00000
2,2-dimethylhexadecane ;6.21965;1.00000
2,3-dimethylhexadecane ;4.10657;0.51455
2,4-dimethylhexadecane ;4.40424;0.58293
2-methylheptadecane;2.53504;0.15351
3-methylheptadecane;1.86685;0.00000
2,2-dimethylheptadecane;6.21273;1.00000
2,4-dimethylheptadecane;4.39339;0.58173
2,3-dimethylheptadecane;4.09955;0.51417
3-methyloctadecane;1.86308;0.00000
2-methyloctadecane;2.53035;0.15341
2,4-dimethyloctadecane;4.38763;0.58315
2,3-dimethyloctadecane;4.09100;0.51471
2,2-dimethyloctadecane;6.19445;1.00000
3-methylnonadecane;1.86004;0.00000
2-methylnonadecane;2.52630;0.15371
